Date,Transect,Quadrat,Perc_macroalgae,Perc_coral,Perc_dead_coral
2/18/20,1,1,1,9,32
2/18/20,1,2,0,30,40
2/18/20,1,3,1,12,6
2/18/20,1,4,24,14,18
2/18/20,1,5,1,20,34
2/18/20,1,6,16,6,32
2/18/20,1,7,10,20,4
2/18/20,1,8,1,0.6,0.6
2/18/20,1,9,30,0.6,2
2/18/20,1,10,24,0,4
2/18/20,1,11,2,0,2
2/18/20,1,12,14,0,1
2/18/20,1,13,25,0,1
2/18/20,1,14,28,0,3
2/18/20,1,15,10,0,1
2/18/20,2,1,0,48,2
2/18/20,2,2,6,12,4
2/18/20,2,3,4,0,0
2/18/20,2,4,4,0,24
2/18/20,2,5,16,0,10
2/18/20,2,6,5,0,0
2/18/20,2,7,4,0,4
2/18/20,2,8,3,40,16
2/18/20,2,9,20,3,20
2/18/20,2,10,6,3,14
2/18/20,2,11,22,1,2
2/18/20,2,12,9,1,1
2/18/20,2,13,38,0,0
2/18/20,2,14,12,0,6
2/18/20,2,15,10,4,6
2/18/20,3,1,4,10,20
2/18/20,3,2,2,0.6,0.4
2/18/20,3,3,30,2,6
2/18/20,3,4,13,0,4
2/18/20,3,5,42.8,0.4,8
2/18/20,3,6,4,0,0
2/18/20,3,7,8,0,0
2/18/20,3,8,12,0,1
2/18/20,3,9,24,3,2
2/18/20,3,10,40,0.6,0
2/18/20,3,11,0,0.6,0
2/18/20,3,12,10,4,0.6
2/18/20,3,13,12,1,2
2/18/20,3,14,10,0,2
2/18/20,3,15,10,0,4
2/20/20,4,1,2,2,2
2/20/20,4,2,1,8,1
2/20/20,4,3,8,0,3
2/20/20,4,4,8,2,4
2/20/20,4,5,10,6,0.4
2/20/20,4,6,20,0.8,3
2/20/20,4,7,8,4,4
2/20/20,4,8,12,1,8
2/20/20,4,9,12,0,3
2/20/20,4,10,4,0,0
2/20/20,4,11,4,0.6,2
2/20/20,4,12,8,4,1
2/20/20,4,13,7,0.6,14
2/20/20,4,14,12,0,4
2/20/20,4,15,14,2,0
2/20/20,5,1,1,20,0
2/20/20,5,2,0,0,0
2/20/20,5,3,0,0,0
2/20/20,5,4,8,4,1
2/20/20,5,5,3,0,2
2/20/20,5,6,8,8,2
2/20/20,5,7,0,6,10
2/20/20,5,8,1,0.6,0.4
2/20/20,5,9,0,18,20
2/20/20,5,10,0,20,18
2/20/20,5,11,0,10,16
2/20/20,5,12,24,0,5
2/20/20,5,13,16,2,4
2/20/20,5,14,16,0,4
2/20/20,5,15,18,4,24
2/20/20,6,1,0,97,3
2/20/20,6,2,0,92,4
2/20/20,6,3,0,88,12
2/20/20,6,4,0.8,64,12
2/20/20,6,5,0,40,44
2/20/20,6,6,10,16,2
2/20/20,6,7,8,2,10
2/20/20,6,8,0,100,0
2/20/20,6,9,0,70,0
2/20/20,6,10,4,0,2
2/20/20,6,11,2,14,0.8
2/20/20,6,12,12,0,1
2/20/20,6,13,12,0.8,0.8
2/20/20,6,14,28,4,28
2/20/20,6,15,12,8,2
