Coral_ID,Substrate_type,Cyclodius
1,Live,7
1,Boundary,4
1,Dead,8
2,Dead,1
2,Live,1
3,Boundary,1
4,Dead,2
5,Live,2
6,Dead,2
6,Live,2
7,Boundary,7
7,Dead,10
7,Live,3
8,Boundary,1
8,Dead,1
8,Live,2
9,Dead,38
9,Live,4
9,Boundary,7
10,Boundary,16
10,Dead,12
10,Live,7
11,Dead,13
11,Boundary,2
11,Live,2
12,Boundary,2
12,Dead,8
13,Boundary,0
13,Dead,3
13,Live,2
14,Live,2
14,Boundary,5
14,Dead,6
15,Live,2
15,Boundary,1
15,Dead,1
16,No_cyclodius,0
17,Dead,2
17,Live,1
17,Boundary,1
18,Live,0
18,Dead,2
19,Dead,0
20,Dead,6
20,Boundary,1
21,Boundary,1
21,Dead,7
21,Live,0
22,No_cyclodius,0
23,Dead,4
23,Boundary,7
23,Live,5
24,Live,6
24,Boundary,4
24,Dead,5
25,Live,5
26,Live,0
26,Boundary,1
26,Dead,1
27,Live,3
27,Boundary,5
27,Dead,6
28,Boundary,4
28,Dead,4
28,Live,3
29,Live,0
29,Boundary,1
30,Boundary,17
30,Dead,36
30,Live,2
31,Dead,4
32,Boundary,2
32,Dead,3
32,Live,2
33,Boundary,1
33,Live,1
34,Dead,0
35,Boundary,2
35,Dead,2
36,No_cyclodius,0
37,Live,0
37,Dead,1
38,No_cyclodius,0
39,Boundary,1
39,Dead,2
39,Live,1
40,Boundary,12
40,Dead,3
40,Live,1
41,Dead,0
41,Live,2
42,Boundary,2
42,Live,0
43,Boundary,1
44,Boundary,1
44,Live,0
45,Boundary,3
45,Dead,7
45,Live,0
46,Boundary,14
46,Dead,9
46,Live,4
47,Boundary,3
47,Dead,0
47,Live,2
